record,label,rep_index,start_s,end_s,duration_s,peak_s,peak_env,mean_env,status,reason,segment_file
2-23_preprocessed,2,1,5.8875,8.8635,2.976,7.022,1.73354090685556,0.678754913550182,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep01.csv
2-23_preprocessed,2,2,10.232,11.1645,0.932500000000001,10.7035,1.77763803668501,0.648125357151054,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep02.csv
2-23_preprocessed,2,3,11.3615,14.1375,2.776,12.378,1.27736608642118,0.542922630650614,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep03.csv
2-23_preprocessed,2,4,16.1205,19.034,2.9135,17.3015,1.63022355170368,0.639206485466536,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep04.csv
2-23_preprocessed,2,5,21.207,23.983,2.776,22.056,1.75854511257444,0.644593979267289,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep05.csv
2-23_preprocessed,2,6,26.2545,28.757,2.5025,27.191,1.46051342371462,0.573710812176322,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep06.csv
2-23_preprocessed,2,7,29.494,30.442,0.948,29.99,1.71515875644998,0.628938466505433,valid,valid_complete_cycle,segmented_records/2-23_preprocessed/2-23_preprocessed_rep07.csv
2-24_preprocessed,2,2,5.3865,9.6305,4.244,7.0895,1.55142029525509,0.544970604598052,valid,valid_complete_cycle,segmented_records/2-24_preprocessed/2-24_preprocessed_rep02.csv
2-24_preprocessed,2,3,11.3125,13.8235,2.511,12.0515,0.918011720371607,0.431498499170188,valid,valid_complete_cycle,segmented_records/2-24_preprocessed/2-24_preprocessed_rep03.csv
2-24_preprocessed,2,4,16.1115,18.4445,2.333,17.2735,1.60509713075781,0.727714266846054,valid,valid_complete_cycle,segmented_records/2-24_preprocessed/2-24_preprocessed_rep04.csv
2-24_preprocessed,2,5,21.4555,23.835,2.3795,22.4925,1.78521427338196,0.762206148316098,valid,valid_complete_cycle,segmented_records/2-24_preprocessed/2-24_preprocessed_rep05.csv
2-24_preprocessed,2,6,26.467,28.7915,2.3245,28.284,1.70300332928059,0.7481138775709,valid,valid_complete_cycle,segmented_records/2-24_preprocessed/2-24_preprocessed_rep06.csv
2-24_preprocessed,2,1,0,0.392,0.392,0,0.691719733885417,0.276953476788067,rejected,too_short,
2-25_preprocessed,2,1,3.81,4.923,1.113,4.279,2.28584559399206,0.721233820686795,valid,valid_complete_cycle,segmented_records/2-25_preprocessed/2-25_preprocessed_rep01.csv
